总阻抗,平均阻抗,最高阻抗,次高阻抗,最低阻抗,次低阻抗,标准差,EIS电阻实部,EIS电阻虚部,电堆总电压,电堆总电流,电堆功率,FC系统入口高压,进堆氢压,出堆氢压,进堆空压,FC空压机出口压力,进堆空温,出堆空温,进堆水温,出堆水温,氢气循环泵FK,比例阀反馈,purge时间,离心机速度FK,离心机功率,三通阀开度FK,高压水泵转速FK,FC空压机出口温度,FC换热器入口温度,氢压差,空压差,空温升,水温升,label
51.01,0.21,0.298,0.291,0.153,0.164,0.028,0.057,0.015,195.5,30.6000003814697,5.9822998046875,12.3000001907349,0.560000002384186,0.5,0.379999995231628,0.349999994039536,18,22,25.5300006866455,25.2399997711182,3500,33.0,5,51005,0.570999979972839,6,2999,22,22.2800006866455,0.060000002384186,0.0300000011920919,4,-0.290000915527301,正常
50.62,0.209,0.29,0.29,0.15,0.155,0.029,0.058,0.015,195.5,29.7999992370605,5.82590007781982,12.1999998092651,0.569999992847443,0.509999990463257,0.379999995231628,0.349999994039536,20,24,27.2299995422363,26.7800006866455,3500,32.9000015258789,12,51003,1.13800001144409,6,2999,31,22.2099990844727,0.060000002384186,0.0300000011920919,4,-0.449998855590799,正常
50.62,0.209,0.29,0.29,0.15,0.155,0.029,0.058,0.015,195.5,30.3999996185303,5.94320011138916,12.1000003814697,0.600000023841858,0.540000021457672,0.379999995231628,0.349999994039536,20,23,26.4899997711182,26.2700004577637,3502,33.2999992370605,2,50990,1.13800001144409,6,3000,28,22.3099994659424,0.060000002384186,0.0300000011920919,3,-0.219999313354499,正常
50.89,0.209,0.291,0.291,0.152,0.162,0.027,0.058,0.015,190.899993896484,41.0999984741211,7.84599018096924,12.3000001907349,0.529999971389771,0.469999998807907,0.370000004768372,0.349999994039536,20,24,27.3700008392334,27.0599994659424,3495,34.2999992370605,14,51000,0.569000005722046,6,2998,31,22.2099990844727,0.059999972581864,0.020000010728836,4,-0.310001373290998,正常
51.02,0.21,0.305,0.291,0.156,0.163,0.028,0.058,0.015,191.800003051758,40.7999992370605,7.82543992996216,12.1000003814697,0.560000002384186,0.5,0.379999995231628,0.349999994039536,20,24,27.2000007629395,27.0,3499,34.4000015258789,15,50998,0.569000005722046,6,3001,31,22.1800003051758,0.060000002384186,0.0300000011920919,4,-0.200000762939499,正常
51.02,0.21,0.305,0.291,0.156,0.163,0.028,0.057,0.016,192.199996948242,41.0999984741211,7.8994197845459,12.0,0.589999973773956,0.529999971389771,0.370000004768372,0.349999994039536,20,24,27.4300003051758,27.2000007629395,3499,34.4000015258789,16,50978,0.569000005722046,6,2999,31,22.1800003051758,0.060000002384185,0.020000010728836,4,-0.2299995422363,正常
50.87,0.21,0.3,0.297,0.16,0.162,0.028,0.057,0.015,192.100006103516,40.2999992370605,7.74163007736206,11.8999996185303,0.519999980926514,0.449999988079071,0.379999995231628,0.349999994039536,20,24,27.3400001525879,27.2000007629395,3503,35.0,0,51010,1.13800001144409,6,2995,31,22.2099990844727,0.069999992847443,0.0300000011920919,4,-0.139999389648402,正常
50.67,0.208,0.295,0.282,0.151,0.155,0.026,0.057,0.016,192.899993896484,39.2999992370605,7.58096981048584,11.6000003814697,0.629999995231628,0.569999992847443,0.370000004768372,0.349999994039536,21,24,27.4599990844727,27.2299995422363,3497,34.7999992370605,1,50987,0.569000005722046,6,2999,31,22.1800003051758,0.060000002384185,0.020000010728836,3,-0.229999542236399,正常
50.32,0.207,0.301,0.284,0.157,0.157,0.028,0.057,0.016,192.600006103516,39.7999992370605,7.66548013687134,11.8999996185303,0.629999995231628,0.579999983310699,0.370000004768372,0.349999994039536,18,24,27.3999996185303,27.2900009155273,3505,33.7000007629395,2,50997,1.13800001144409,6,3002,32,22.1800003051758,0.050000011920929,0.020000010728836,6,-0.109998703002997,正常
50.32,0.207,0.301,0.284,0.157,0.157,0.028,0.057,0.015,188.399993896484,49.2000007629395,9.26928043365479,12.1000003814697,0.600000023841858,0.550000011920929,0.370000004768372,0.349999994039536,21,24,27.4899997711182,27.3400001525879,3501,33.5,3,50963,1.13800001144409,6,3000,32,22.25,0.0500000119209291,0.020000010728836,3,-0.149999618530298,正常
50.42,0.207,0.301,0.294,0.146,0.148,0.029,0.057,0.015,188.399993896484,49.4000015258789,9.306960105896,12.3000001907349,0.509999990463257,0.46000000834465,0.370000004768372,0.349999994039536,21,25,27.6900005340576,27.5400009155273,3497,33.9000015258789,4,50965,0.569000005722046,6,3001,32,22.1499996185303,0.049999982118607,0.020000010728836,4,-0.149999618530298,正常
50.4,0.207,0.305,0.289,0.154,0.155,0.028,0.056,0.016,188.600006103516,50.2999992370605,9.48657989501953,12.0,0.569999992847443,0.509999990463257,0.370000004768372,0.349999994039536,21,25,27.6599998474121,27.5699996948242,3498,34.4000015258789,5,50991,0.569000005722046,6,2998,32,22.2099990844727,0.060000002384186,0.020000010728836,4,-0.0900001525878977,正常
50.4,0.207,0.305,0.289,0.154,0.155,0.028,0.056,0.016,188.600006103516,50.7999992370605,9.5808801651001,11.8999996185303,0.620000004768372,0.569999992847443,0.370000004768372,0.349999994039536,21,25,27.6299991607666,27.6000003814697,3504,33.7999992370605,6,50985,1.13800001144409,6,2999,32,22.25,0.0500000119209291,0.020000010728836,4,-0.0299987792968999,正常
50.01,0.206,0.289,0.288,0.143,0.155,0.028,0.056,0.016,188.600006103516,51.0999984741211,9.63745975494385,12.1000003814697,0.569999992847443,0.509999990463257,0.370000004768372,0.349999994039536,21,25,27.6900005340576,27.6900005340576,3503,33.4000015258789,7,50992,1.13800001144409,6,3000,33,22.2099990844727,0.060000002384186,0.020000010728836,4,0.0,正常
50.01,0.206,0.289,0.288,0.143,0.155,0.028,0.056,0.016,187.199996948242,55.2000007629395,10.3334398269653,12.1999998092651,0.509999990463257,0.449999988079071,0.370000004768372,0.349999994039536,21,25,27.6900005340576,27.6900005340576,3498,34.2000007629395,7,50988,0.569000005722046,6,2999,33,22.25,0.060000002384186,0.020000010728836,4,0.0,正常
50.04,0.206,0.301,0.286,0.138,0.158,0.028,0.056,0.016,185.399993896484,59.9000015258789,11.1054601669312,12.0,0.560000002384186,0.5,0.370000004768372,0.349999994039536,21,25,27.6900005340576,27.6900005340576,3493,34.7000007629395,8,50980,0.569999992847443,6,2997,33,22.25,0.060000002384186,0.020000010728836,4,0.0,正常
49.18,0.202,0.287,0.282,0.156,0.157,0.027,0.056,0.016,185.399993896484,59.5999984741211,11.0498399734497,11.8000001907349,0.610000014305115,0.560000002384186,0.370000004768372,0.349999994039536,21,25,28.0300006866455,28.0300006866455,3501,34.0999984741211,9,50982,1.13999998569489,6,2999,33,22.25,0.050000011920929,0.020000010728836,4,0.0,正常
