model,level,accuracy,balanced_accuracy,cohen_kappa,precision_weighted,recall_weighted,f1_weighted,f1_macro,fit_time,prediction_time
random_forest,traditional_baseline,0.9666666666666667,0.9259259259259259,0.9308755760368663,0.9682539682539683,0.9666666666666667,0.964989837398374,0.9502032520325203,0.3935279846191406,0.011522769927978516
lightgbm,traditional_baseline,0.9666666666666667,0.9259259259259259,0.9308755760368663,0.9682539682539683,0.9666666666666667,0.964989837398374,0.9502032520325203,0.550884485244751,0.014070987701416016
svm,traditional_baseline,0.9166666666666666,0.9009259259259258,0.8359759431383269,0.9208119658119659,0.9166666666666666,0.9183322229624695,0.891183655340884,0.0019998550415039062,0.0009996891021728516
mlp,deep_baseline,0.8666666666666667,0.7104377104377105,0.6963946869070209,0.8840425531914894,0.8666666666666667,0.8342389411354928,0.73075583420411,0.02640843391418457,0.0
bigru,deep_baseline,0.85,0.6801346801346803,0.6593059936908517,0.825709219858156,0.85,0.8241806660772177,0.7090775125257883,12.35327672958374,1.1151010990142822
tcn,deep_baseline,0.85,0.6666666666666666,0.6445029624753127,0.7275510204081633,0.85,0.7825842696629214,0.6329588014981273,2.8746018409729004,0.4223320484161377
transformer,deep_baseline,0.85,0.6666666666666666,0.6445029624753127,0.7275510204081633,0.85,0.7825842696629214,0.6329588014981273,5.114274263381958,0.4158451557159424
ab_emstgat,proposed_adaptive_branch,0.85,0.6666666666666666,0.6575776791376031,0.7225040916530278,0.85,0.7810823754789271,0.6120689655172414,17.72297430038452,2.134546995162964
di_emstgat,proposed_direct_input,0.75,0.48484848484848486,0.33085501858736066,0.6681818181818182,0.75,0.6759868421052632,0.4890350877192982,14.657304048538208,1.9242398738861084
xgboost,traditional_baseline,0.6666666666666666,0.3333333333333333,0.0,0.4444444444444444,0.6666666666666666,0.5333333333333333,0.26666666666666666,0.03408002853393555,0.001018524169921875
