特征,状态,下界,上界,均值,中位数,标准差,p10,p90
EIS电阻实部,0,0.042517103,0.080467179,0.044199637,0.044,0.003112541,0.041,0.048
EIS电阻虚部,0,0.006529784,0.01757878,0.017432849,0.017,0.000898946,0.016,0.019
平均阻抗,0,0.151478233,0.277680762,0.161411071,0.1555,0.01701032,0.145,0.191
总阻抗,0,36.78814186,66.3559129,39.17941016,37.715,4.120388212,35.34,46.318
最低阻抗,0,0.101091624,0.173991909,0.10850726,0.104,0.014501938,0.095,0.1329
最高阻抗,0,0.249383751,0.403192031,0.262232305,0.258,0.020444616,0.239,0.2949
标准差,0,0.02842708,0.050865849,0.029796733,0.03,0.00307712,0.026,0.034
次低阻抗,0,0.10505334,0.181871462,0.11258167,0.108,0.014472082,0.099,0.136
次高阻抗,0,0.238806582,0.395656255,0.252829401,0.248,0.02064403,0.231,0.285
EIS电阻实部,1,0.080467179,0.301,0.120669077,0.113,0.044651662,0.069,0.188369386
EIS电阻虚部,1,-0.059,0.006529784,-0.005313714,-0.003,0.012837138,-0.025089061,0.009
平均阻抗,1,0.277680762,0.584,0.396811977,0.397,0.118101379,0.249,0.550527017
总阻抗,1,66.3559129,134.93,93.90424145,94.625,26.57061555,60.177,128.6133906
最低阻抗,1,0.173991909,0.309,0.241460375,0.242,0.052343019,0.173,0.3
最高阻抗,1,0.403192031,0.723,0.530535818,0.562,0.11533736,0.367,0.662
标准差,1,0.050865849,0.112,0.071666662,0.072,0.024763129,0.038,0.101721472
次低阻抗,1,0.181871462,0.311,0.248904179,0.258,0.051079501,0.18,0.302
次高阻抗,1,0.395656255,0.7,0.52429562,0.5575,0.116086972,0.36,0.654
EIS电阻实部,2,0.0,0.042517103,0.040868776,0.041,0.000981683,0.04,0.042
EIS电阻虚部,2,0.01757878,0.019,0.017882271,0.018,0.000433162,0.017,0.018
平均阻抗,2,0.13,0.151478233,0.145001861,0.144,0.009838174,0.133,0.162
总阻抗,2,31.73,36.78814186,35.26815728,34.99,2.376355375,32.427,39.333
最低阻抗,2,0.067,0.101091624,0.096859237,0.095,0.008745322,0.087,0.11
最高阻抗,2,0.199,0.249383751,0.241302699,0.236,0.026048069,0.217,0.267
标准差,2,0.023,0.02842708,0.026911587,0.027,0.001675405,0.025,0.029
次低阻抗,2,0.071,0.10505334,0.100631689,0.099,0.008456138,0.091,0.114
次高阻抗,2,0.196,0.238806582,0.228396929,0.226,0.016726294,0.211,0.247
